"row","filename","title","author","year","page_number","image_url","license"
"1","001_bsb11034278_12_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine : für das Jahr ... / 1850","Deutscher Zollverein","1850","12 (0012)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034278_00012/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"2","002_bsb11507320_44_conf_1.00.png","Statistica del commercio speciale di importazione e di esportazione / 1889, 1. - 31. Jan.",,"1889","42 (0044)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507320_00044/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"3","003_bsb11507329_103_conf_1.00.png","Statistica del commercio speciale di importazione e di esportazione / 1889, 1. Jan. - 31. Okt.",,"1889","101 (0103)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507329_00103/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"4","004_bsb11034289_8_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine : für das Jahr ... / 1848","Deutscher Zollverein","1848","8 (0008)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034289_00008/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"5","005_bsb10388362_221_conf_1.00.png","Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 12. 1869",,"1869","213 (0221)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10388362_00221/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"6","006_bsb11461037_11_conf_1.00.png","Übersichts-Tabelle der Ein-, Aus- und Durchfuhr : im Jahr ... / 1881","Schweiz","1881","11 (0011)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11461037_00011/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"7","007_bsb11039516_249_conf_1.00.png","Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 20. 1873",,"1873","239 (0249)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11039516_00249/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"8","008_bsb10290675_55_conf_1.00.png","Statistische Übersicht der wichtigsten Gegenstände des Verkehrs und Verbrauchs im preußischen Staate und im deutschen Zollvereine / [1] : In dem Zeitraume von 1831 bis 1836","Dieterici, Karl Friedrich Wilhelm","1838","35 (0055)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10290675_00055/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"9","009_bsb10388338_288_conf_1.00.png","Jahrbuch für Volkswirthschaft und Statistik / 3. 1855","Hübner, Otto","1855","282 (0288)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10388338_00288/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"10","010_bsb11034185_113_conf_1.00.png","Statistischer Jahres-Bericht der Central-Commission für die Rhein-Schiffahrt / 1871 (1872)","Zentralkommission für die Rheinschifffahrt","1872","105 (0113)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034185_00113/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"11","011_bsb10347655_57_conf_1.00.png","Tableau du titre, poids et valeur, des différentes monnaies dór et dárgent, qui circulent dans le com[m]erce : avec empreintes, auquel on a joint diverses tables, tarifs et règles utiles à ceux qui travaillent ou font commerce des matières dór et dárgent ainsi que la Loi du 19 brumaire an 6, relativeà la surveillance du titre et aux droits de garantie, ...","Darier, Hugues","1807","47 (0057)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10347655_00057/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
